antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'customer service'}),frozenset({'communication'}),0.168875,0.29035,0.08593,0.5088378978534419,1.752498356650394,1.0,0.03689714375000001,1.444838673217192,0.5166323423195056,0.23019327877415988,0.30788120602190083,0.40239552891638863
"frozenset({'communication', 'customer service'})",frozenset({'teamwork'}),0.08593,0.17344,0.03547,0.4127778424298848,2.3799460472202765,1.0,0.0205663008,1.4075763139120094,0.6343304207210084,0.1584189370254578,0.28955894602918697,0.3086433031337616
"frozenset({'customer service', 'teamwork'})",frozenset({'communication'}),0.05153,0.29035,0.03547,0.6883368911313799,2.3707142797705525,1.0,0.0205082645,2.2769778642590293,0.6095988271693362,0.11575992950621716,0.5608213783292889,0.40524989898397823
frozenset({'organizational skills'}),frozenset({'communication skills'}),0.057765,0.16648,0.02387,0.4132260019042673,2.4821360037498037,1.0,0.0142532828,1.4205128426021538,0.6337285175969518,0.11912663755458516,0.29602889181335457,0.27830329408043736
"frozenset({'organizational skills', 'communication'})",frozenset({'time management'}),0.018715,0.12239,0.01006,0.537536735239113,4.391998817216383,1.0,0.00776947115,1.8976858636626228,0.7870427404744607,0.07676752260673812,0.47304239381856755,0.3098664965516588
"frozenset({'organizational skills', 'time management'})",frozenset({'communication'}),0.021165,0.29035,0.01006,0.4753130167729742,1.6370346711657455,1.0,0.00391474225,1.3525206888788832,0.39755361084145135,0.033371481647343715,0.2606397756259765,0.25498042779409863
frozenset({'team leadership'}),frozenset({'communication'}),0.04124,0.29035,0.017775,0.4310135790494665,1.4844621286360136,1.0,0.005800965999999999,1.247217813765182,0.34039314376944574,0.056641651928684096,0.19821542880217927,0.24611639861720785
frozenset({'multitasking'}),frozenset({'communication'}),0.035325,0.29035,0.01669,0.4724699221514508,1.6272427144875177,1.0,0.006433386249999999,1.3452313522940702,0.3995786415772266,0.05401556709872647,0.2566334420509417,0.2649761355203612
frozenset({'inventory management'}),frozenset({'customer service'}),0.03214,0.168875,0.015845,0.4929993777224642,2.9193153381048953,1.0,0.010417357500000002,1.6392977907333537,0.6792861867254847,0.0855700167413728,0.3899827074416775,0.2934130863445778
frozenset({'inventory management'}),frozenset({'communication'}),0.03214,0.29035,0.01483,0.46141879278158054,1.5891813080130206,1.0,0.005498151,1.3176285961871748,0.38305661840745653,0.048202561268933235,0.24106079445019452,0.2562475400105595
